,DBPath,correct_k,optk_MDS_gap_max,optk_MDS_gap_Tib,optk_MDS_gap*_max,optk_X_gap_max,optk_X_gap_Tib,optk_X_gap*_max,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7
39,D:\Z - Saved SQL Databases\44OP-127929_Baylor_Planters_House\JobDB.mdf,1.0,1,1.0,4.0,1,1.0,1.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
40,D:\Z - Saved SQL Databases\44OP-168489_Baylor_Fast_Forward\JobDB.mdf,123.0,95,6.0,124.0,101,5.0,10.0,716.0,33.0,35.0,241.0,399.0,8.0,0.0,0.0
41,D:\Z - Saved SQL Databases\44OP-117216_UMHB_Stadium\JobDB.mdf,75.0,59,2.0,76.0,68,2.0,5.0,409.0,1.0,1.0,328.0,79.0,0.0,0.0,0.0
42,D:\Z - Saved SQL Databases\44OP-148606_BU_RANEY_SMITH\JobDB.mdf,15.0,13,2.0,17.0,14,2.0,3.0,50.0,0.0,0.0,11.0,39.0,0.0,0.0,0.0
43,D:\Z - Saved SQL Databases\44OP-170006_TXSU_Jones_Dining_Hall_Reno\JobDB.mdf,39.0,13,3.0,42.0,43,2.0,2.0,152.0,0.0,4.0,147.0,1.0,0.0,0.0,0.0
44,D:\Z - Saved SQL Databases\44OP-169562_Prudential_Overall_Supply\JobDB.mdf,1.0,4,1.0,4.0,1,1.0,1.0,307.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0
45,D:\Z - Saved SQL Databases\44OP-158160_Baylor_Armstrong_Browning_AHU\JobDB.mdf,2.0,2,2.0,8.0,2,2.0,2.0,35.0,13.0,0.0,22.0,0.0,0.0,0.0,0.0
46,D:\Z - Saved SQL Databases\44OP-167838_Baylor_Athletic_Nutrition\JobDB.mdf,25.0,22,2.0,28.0,23,2.0,2.0,34.0,0.0,5.0,29.0,0.0,0.0,0.0,0.0
47,D:\Z - Saved SQL Databases\44OP-159356_TSC_ITECC\JobDB.mdf,4.0,5,1.0,10.0,5,1.0,5.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
48,D:\Z - Saved SQL Databases\44OP-145864_SDMC_32nd_AHU_Replacement\JobDB.mdf,3.0,7,1.0,9.0,6,1.0,2.0,58.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0
49,D:\Z - Saved SQL Databases\44OP-138488_TFC_LBJ_DMP_Phase_1\JobDB.mdf,16.0,11,1.0,23.0,23,1.0,9.0,312.0,0.0,0.0,312.0,0.0,0.0,0.0,0.0
50,D:\Z - Saved SQL Databases\44OP-167901_Intel_AN4_3B\JobDB.mdf,4.0,10,2.0,15.0,12,3.0,6.0,44.0,0.0,0.0,0.0,40.0,4.0,0.0,0.0
51,D:\Z - Saved SQL Databases\44OP-123360_S&W_POB\JobDB.mdf,18.0,18,2.0,26.0,21,2.0,6.0,179.0,0.0,2.0,177.0,0.0,0.0,0.0,0.0
52,D:\Z - Saved SQL Databases\44OP-087407_UT_LIBERAL_ARTS\JobDB.mdf,23.0,42,3.0,61.0,57,3.0,4.0,430.0,0.0,4.0,370.0,56.0,0.0,0.0,0.0
53,D:\Z - Saved SQL Databases\44OP-150580_NEC_Lakeline\JobDB.mdf,6.0,1,1.0,5.0,4,1.0,5.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
54,D:\Z - Saved SQL Databases\44OP-124807_TFC_Moreton\JobDB.mdf,34.0,25,3.0,47.0,41,3.0,3.0,308.0,0.0,3.0,298.0,7.0,0.0,0.0,0.0
55,D:\Z - Saved SQL Databases\44OP-159991 Neighbors\JobDB.mdf,6.0,2,2.0,6.0,1,1.0,6.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
56,D:\Z - Saved SQL Databases\44OP-169908_Seton_HL_New_OA_Units\JobDB.mdf,2.0,4,1.0,9.0,2,1.0,2.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
57,D:\Z - Saved SQL Databases\44OP-152078_AT&T_LABS MBC\JobDB.mdf,85.0,43,6.0,117.0,62,6.0,6.0,528.0,209.0,276.0,14.0,22.0,4.0,1.0,2.0
58,D:\Z - Saved SQL Databases\44OP-167361_TFC_ DSHS_Fast_Forward\JobDB.mdf,16.0,9,3.0,36.0,31,3.0,3.0,42.0,0.0,0.0,28.0,12.0,2.0,0.0,0.0
59,D:\Z - Saved SQL Databases\44OP-102233_Seton_HL_Chiller\JobDB.mdf,2.0,1,1.0,8.0,2,1.0,2.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
