,DBPath,correct_k,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7,optk_TSNE_gap_max,optk_TSNE_gap_Tib,optk_TSNE_gap*_max
46,D:\Z - Saved SQL Databases\44OP-167838_Baylor_Athletic_Nutrition\JobDB.mdf,25,34,0,5,29,0,0,0,0,0,0,0
47,D:\Z - Saved SQL Databases\44OP-159356_TSC_ITECC\JobDB.mdf,4,30,0,0,0,30,0,0,0,11,1,13
48,D:\Z - Saved SQL Databases\44OP-145864_SDMC_32nd_AHU_Replacement\JobDB.mdf,3,58,0,0,0,58,0,0,0,11,1,12
49,D:\Z - Saved SQL Databases\44OP-138488_TFC_LBJ_DMP_Phase_1\JobDB.mdf,16,312,0,0,312,0,0,0,0,24,1,25
50,D:\Z - Saved SQL Databases\44OP-167901_Intel_AN4_3B\JobDB.mdf,4,44,0,0,0,40,4,0,0,11,3,13
51,D:\Z - Saved SQL Databases\44OP-123360_S&W_POB\JobDB.mdf,18,179,0,2,177,0,0,0,0,27,1,27
52,D:\Z - Saved SQL Databases\44OP-087407_UT_LIBERAL_ARTS\JobDB.mdf,23,430,0,4,370,56,0,0,0,30,1,30
53,D:\Z - Saved SQL Databases\44OP-150580_NEC_Lakeline\JobDB.mdf,6,6,0,0,0,6,0,0,0,0,0,0
54,D:\Z - Saved SQL Databases\44OP-124807_TFC_Moreton\JobDB.mdf,34,308,0,3,298,7,0,0,0,37,1,37
55,D:\Z - Saved SQL Databases\44OP-159991 Neighbors\JobDB.mdf,6,7,0,0,0,7,0,0,0,0,0,0
56,D:\Z - Saved SQL Databases\44OP-169908_Seton_HL_New_OA_Units\JobDB.mdf,2,30,0,0,30,0,0,0,0,10,1,11
57,D:\Z - Saved SQL Databases\44OP-152078_AT&T_LABS MBC\JobDB.mdf,85,528,209,276,14,22,4,1,2,24,1,94
58,D:\Z - Saved SQL Databases\44OP-167361_TFC_ DSHS_Fast_Forward\JobDB.mdf,16,42,0,0,28,12,2,0,0,12,1,25
59,D:\Z - Saved SQL Databases\44OP-102233_Seton_HL_Chiller\JobDB.mdf,2,10,0,0,0,10,0,0,0,0,0,0
60,D:\Z - Saved SQL Databases\44OP-168475_UT_Townes_Hall_HVAC_Proj_Ph_2\JobDB.mdf,7,108,0,0,92,16,0,0,0,1,1,15
61,D:\Z - Saved SQL Databases\44OP-150108_TAMUHSC_MRB_MBC_FF\JobDB.mdf,40,435,412,9,14,0,0,0,0,1,1,46
62,D:\Z - Saved SQL Databases\44OP-146257_Baylor_Track\JobDB.mdf,27,33,0,0,33,0,0,0,0,0,0,0
63,D:\Z - Saved SQL Databases\44OP-149430-TFC_JHW_Monitor_DC\JobDB.mdf,86,295,10,0,87,175,23,0,0,95,1,95
64,D:\Z - Saved SQL Databases\44OP-154286_Intel_AN4_Data_Center\JobDB.mdf,29,66,0,0,18,43,5,0,0,8,1,38
65,D:\Z - Saved SQL Databases\44OP-166628_Baylor_BRIC_Dr_Birkeland\JobDB.mdf,3,58,0,0,47,11,0,0,0,10,1,12
66,D:\Z - Saved SQL Databases\44OP-170871_SDMC_MRI_Addition\JobDB.mdf,1,4,0,0,0,0,4,0,0,4,1,4
67,D:\Z - Saved SQL Databases\44OP-147230_TFC_WBT_and_SFA\JobDB.mdf,66,272,2,1,260,9,0,0,0,68,1,68
68,D:\Z - Saved SQL Databases\44OP-159849 UT EERC-ECJ 2nd Flr\JobDB.mdf,39,61,0,0,61,0,0,0,0,4,1,47
69,D:\Z - Saved SQL Databases\44OP-151233_SAMC_Pharmacy_Reno\JobDB.mdf,8,32,1,0,0,31,0,0,0,11,1,17
70,D:\Z - Saved SQL Databases\44OP-159998CHASE\JobDB.mdf,69,225,27,18,141,22,4,11,2,78,1,78
71,D:\Z - Saved SQL Databases\44OP-075294 SAMC New Const Ph 3 4 5\JobDB.mdf,4,138,0,0,0,138,0,0,0,11,1,11
72,D:\Z - Saved SQL Databases\44OP-080108_Austin_Treasury\JobDB.mdf,7,102,14,0,88,0,0,0,0,2,1,16
73,D:\Z - Saved SQL Databases\44OP-148387_BU_FORMAN_LAB\JobDB.mdf,6,40,0,0,22,18,0,0,0,14,2,14
74,D:\Z - Saved SQL Databases\44OP-154681_Baylor_BRIC_OAHU_E2\JobDB.mdf,87,816,2,5,529,276,4,0,0,93,1,93
