,DBPath,correct_k,optk_MDS_gap_max,optk_MDS_gap_Tib,optk_MDS_gap*_max,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7
29,D:\Z - Saved SQL Databases\44OP-143748_UT_EERC\JobDB.mdf,39,8,1,47,60,0,0,60,0,0,0,0
30,D:\Z - Saved SQL Databases\44OP-156674_RRMC_NUC_CATH\JobDB.mdf,6,14,1,14,49,0,49,0,0,0,0,0
31,D:\Z - Saved SQL Databases\44OP-146488_TFC_DSHS_A600_Labs_Ph3\JobDB.mdf,16,11,3,30,34,5,0,1,28,0,0,0
32,D:\Z - Saved SQL Databases\44OP-140618_TAMU_CC_Dining_Hall\JobDB.mdf,2,3,2,5,31,15,0,16,0,0,0,0
33,D:\Z - Saved SQL Databases\44OP-154233_BU_Penland_Hall_Dining\JobDB.mdf,47,34,5,59,177,3,1,171,2,0,0,0
34,D:\Z - Saved SQL Databases\44OP-155245_BRIC_Region_12_ESC\JobDB.mdf,81,93,7,108,768,2,5,500,257,4,0,0
35,D:\Z - Saved SQL Databases\44OP-124719_TAMU_Library\JobDB.mdf,40,40,4,76,307,22,1,280,4,0,0,0
36,D:\Z - Saved SQL Databases\44OP-159998 Jamie\JobDB.mdf,47,68,4,167,433,70,5,285,73,0,0,0
37,D:\Z - Saved SQL Databases\44OP-150984_Cirrus_Research\JobDB.mdf,31,23,1,40,159,0,0,159,0,0,0,0
38,D:\Z - Saved SQL Databases\44OP-171481_100_Congress_Civitas\JobDB.mdf,3,9,1,11,24,0,0,0,24,0,0,0
39,D:\Z - Saved SQL Databases\44OP-127929_Baylor_Planters_House\JobDB.mdf,1,9,1,9,9,0,0,9,0,0,0,0
40,D:\Z - Saved SQL Databases\44OP-168489_Baylor_Fast_Forward\JobDB.mdf,123,134,5,158,716,33,35,241,399,8,0,0
41,D:\Z - Saved SQL Databases\44OP-117216_UMHB_Stadium\JobDB.mdf,75,51,4,91,409,1,1,328,79,0,0,0
42,D:\Z - Saved SQL Databases\44OP-148606_BU_RANEY_SMITH\JobDB.mdf,15,29,2,33,50,0,0,11,39,0,0,0
