index,old,new
441,TPY,0
442,m2,m2
443,27/28,0
444,RH%,PCT
445,Pct,PCT
446,% Clos,PCT
447,CNTROL,0
448,%BYP,PCT
449,#STAGE,0
450,#/HR,0
451,in H2O,in H2O
452,MA,mA
453,F,DEG F
454,FAN,0
455,KW,kWh
456,FANS,0
457,MV,V
458,pmp,ppm
459,KCFM,ft3/m
460,MODE,0
461,GAL,gal
462,VALUE,PCT
463,HZ,Hz
464,OCT KW,kW
465,SECS,secs
466,Pump,0
467,MAXFLN,0
468,degmin,DEG F
469,MWh,kWh
470,Pct.,PCT
471,% FLA,PCT
472,% Rh,PCT
473,ft,ft
474,P[SI,psi
475,KW/Ton,kW
476,DEG F/m,DEG F
477,Btu/lbs,lbs/h
