,DBPath,correct_k,optk_MDS_gap_max,optk_MDS_gap_Tib,optk_MDS_gap*_max,optk_X_gap_max,optk_X_gap_Tib,optk_X_gap*_max,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7
14,D:\Z - Saved SQL Databases\44OP-154285_UT_EERC_MTC\JobDB.mdf,8.0,10.0,5.0,21.0,11.0,5.0,7.0,76.0,0.0,2.0,72.0,2.0,0.0,0.0,0.0
15,D:\Z - Saved SQL Databases\44OP-152745_INTEL_AN4_COMPRESSOR\JobDB.mdf,48.0,109.0,6.0,133.0,110.0,6.0,10.0,624.0,1.0,2.0,21.0,466.0,134.0,0.0,0.0
16,D:\Z - Saved SQL Databases\44OP-147217_HCA_Cedar_Park_FSED\JobDB.mdf,10.0,18.0,2.0,18.0,18.0,2.0,5.0,18.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0
17,D:\Z - Saved SQL Databases\44OP-159849_UT_EERC_old\JobDB.mdf,245.0,156.0,5.0,282.0,237.0,5.0,7.0,1723.0,0.0,20.0,1188.0,174.0,260.0,81.0,0.0
18,D:\Z - Saved SQL Databases\44OP-163025_UT_TEST_BENCH\JobDB.mdf,1.0,4.0,1.0,10.0,1.0,1.0,1.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
19,D:\Z - Saved SQL Databases\44OP-153537_NAMC_PEDS\JobDB.mdf,1.0,6.0,1.0,10.0,1.0,1.0,1.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
20,D:\Z - Saved SQL Databases\44OP-130108_UT_Geography_Bldg\JobDB.mdf,21.0,28.0,1.0,28.0,29.0,1.0,1.0,92.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0
21,D:\Z - Saved SQL Databases\44OP-103884_ACC_Elgin\JobDB.mdf,26.0,28.0,1.0,33.0,32.0,1.0,4.0,209.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0
22,D:\Z - Saved SQL Databases\44OP-147028_UT_GEO_Package_6\JobDB.mdf,9.0,16.0,1.0,16.0,13.0,1.0,1.0,49.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0
23,D:\Z - Saved SQL Databases\44OP-165943_Cirrus_Logic_HQ_Ph_2\JobDB.mdf,16.0,37.0,4.0,39.0,23.0,4.0,5.0,61.0,0.0,2.0,46.0,13.0,0.0,0.0,0.0
24,D:\Z - Saved SQL Databases\44OP-166059_Baylor_Elliston_Chapel\JobDB.mdf,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
25,D:\Z - Saved SQL Databases\44OP-170006_TXSU_Jones_Dining_Hall_Reno_chase\JobDB.mdf,25.0,21.0,4.0,37.0,37.0,4.0,7.0,126.0,0.0,2.0,123.0,1.0,0.0,0.0,0.0
26,D:\Z - Saved SQL Databases\44OP-142255_TFC_NSOC\JobDB.mdf,7.0,14.0,2.0,17.0,10.0,2.0,6.0,30.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0
27,D:\Z - Saved SQL Databases\44OP-151758_Baylor_Business_School\JobDB.mdf,67.0,80.0,4.0,97.0,26.0,4.0,4.0,1809.0,1552.0,6.0,215.0,36.0,0.0,0.0,0.0
28,D:\Z - Saved SQL Databases\44OP-156184_TFC_INS_PDB\JobDB.mdf,9.0,33.0,5.0,33.0,33.0,3.0,3.0,33.0,14.0,0.0,16.0,3.0,0.0,0.0,0.0
29,D:\Z - Saved SQL Databases\44OP-143748_UT_EERC\JobDB.mdf,39.0,8.0,1.0,47.0,29.0,1.0,2.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
30,D:\Z - Saved SQL Databases\44OP-156674_RRMC_NUC_CATH\JobDB.mdf,6.0,14.0,1.0,14.0,9.0,1.0,7.0,49.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0
